1540328410723	f	0	log_memorygame_sub1
1540328410724	f	0	Logging Begins
1540328410724	d	0	display reset
1540328410766	d	1	image cake
1540328410792	d	2	text ElGateau
1540328410818	d	5	text Christopher_Madan
1540328410843	d	3	text v 0.9.2
1540328415843	d	0	display reset
1540328415907	d	1	_ _
1540328415907	d	1	_ _
1540328415907	d	2	_ _
1540328415907	d	3	_ _
1540328415907	d	4	_ _
1540328415907	d	5	_ _
1540328415907	d	6	_ _
1540328415907	d	7	_ _
1540328415907	d	8	_ _
1540328415907	d	9	_ _
1540328415907	d	10	_ _
1540328415907	d	11	_ _
1540328415907	d	12	_ _
1540328415907	d	13	_ _
1540328415907	d	14	_ _
1540328415907	d	15	_ _
1540328416015	d	2	image card
1540328416039	d	3	image card
1540328416063	d	4	image card
1540328416088	d	5	image card
1540328416112	d	6	image card
1540328416136	d	7	image card
1540328416161	d	8	image card
1540328416185	d	9	image card
1540328416211	d	10	image card
1540328416235	d	11	image card
1540328416259	d	12	image card
1540328416283	d	13	image card
1540328416307	d	14	image card
1540328416332	d	15	image card
1540328416357	d	1	text 0
1540328417691	p	4	1257
1540328417735	d	2	image cheese
1540328419041	p	3	1177
1540328419103	d	3	image bulb
1540328419130	d	1	text 0
1540328420185	d	2	image card
1540328420212	d	3	image card
1540328420212	e	0	Flip 1
1540328420238	d	1	text 1
1540328421287	p	2	909
1540328421353	d	4	image hammer
1540328421867	p	1	400
1540328421915	d	5	image turtle
1540328421940	d	1	text 1
1540328423004	d	4	image card
1540328423032	d	5	image card
1540328423032	e	0	Flip 2
1540328423056	d	1	text 2
1540328424075	p	10	903
1540328424139	d	6	image liberty
1540328424768	p	9	517
1540328424832	d	7	image hammer
1540328424860	d	1	text 2
1540328425888	d	6	image card
1540328425920	d	7	image card
1540328425920	e	0	Flip 3
1540328425950	d	1	text 3
1540328427651	p	3	1594
1540328427712	d	3	image bulb
1540328429125	p	4	1319
1540328429183	d	2	image cheese
1540328429211	d	1	text 3
1540328430266	d	3	image card
1540328430293	d	2	image card
1540328430293	e	0	Flip 4
1540328430319	d	1	text 4
1540328430771	p	2	332
1540328430832	d	4	image hammer
1540328431443	p	9	473
1540328431498	d	7	image hammer
1540328431525	d	1	text 4
1540328431525	e	0	Flip 5
1540328431549	d	1	text 5
1540328433714	p	7	2053
1540328433762	d	9	image liberty
1540328435118	p	10	1257
1540328435169	d	6	image liberty
1540328435196	d	1	text 5
1540328435196	e	0	Flip 6
1540328435220	d	1	text 6
1540328436913	p	6	1587
1540328436979	d	10	image rocket
1540328437661	p	11	606
1540328437720	d	15	image taco
1540328437745	d	1	text 6
1540328438809	d	10	image card
1540328438838	d	15	image card
1540328438838	e	0	Flip 7
1540328438864	d	1	text 7
1540328440087	p	12	1159
1540328440145	d	14	image rocket
1540328441000	p	11	748
1540328441061	d	15	image taco
1540328441090	d	1	text 7
1540328442146	d	14	image card
1540328442172	d	15	image card
1540328442172	e	0	Flip 8
1540328442196	d	1	text 8
1540328442658	p	6	358
1540328442715	d	10	image rocket
1540328443208	p	12	401
1540328443267	d	14	image rocket
1540328443293	d	1	text 8
1540328443293	e	0	Flip 9
1540328443319	d	1	text 9
1540328444504	p	13	1117
1540328444561	d	13	image cheese
1540328445539	p	4	855
1540328445595	d	2	image cheese
1540328445622	d	1	text 9
1540328445622	e	0	Flip 10
1540328445648	d	1	text 10
1540328446632	p	14	880
1540328446690	d	12	image bulb
1540328447601	p	3	797
1540328447663	d	3	image bulb
1540328447692	d	1	text 10
1540328447692	e	0	Flip 11
1540328447716	d	1	text 11
1540328448545	p	15	748
1540328448582	d	11	image turtle
1540328449417	p	1	740
1540328449476	d	5	image turtle
1540328449501	d	1	text 11
1540328449501	e	0	Flip 12
1540328449525	d	1	text 12
1540328450447	p	11	839
1540328450510	d	15	image taco
1540328451222	p	8	639
1540328451278	d	8	image taco
1540328451303	d	1	text 12
1540328451303	e	0	Flip 13
1540328453304	d	0	display reset
1540328453364	d	1	_ _
1540328453364	d	1	_ _
1540328453364	d	2	_ _
1540328453364	d	3	_ _
1540328453364	d	4	_ _
1540328453364	d	5	_ _
1540328453364	d	6	_ _
1540328453364	d	7	_ _
1540328453364	d	8	_ _
1540328453364	d	9	_ _
1540328453365	d	10	_ _
1540328453365	d	11	_ _
1540328453365	d	12	_ _
1540328453365	d	13	_ _
1540328453365	d	14	_ _
1540328453365	d	15	_ _
1540328453393	d	8	text Great_Job
1540328453426	d	13	image cake
1540328453452	d	1	text 13
1540328453452	f	0	Logging Ends
